neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day
2,1.33235,103.78520999999999,2,81,90,18,0.28,1,365,2014,12,26
1,1.28875,103.80814000000001,2,44,15,18,0.23,32,331,2019,4,21
1,1.28837,103.81099,2,40,30,10,0.11,32,276,2018,9,13
8,1.31125,103.83816,2,65,2,125,1.35,6,336,2019,8,22
1,1.28976,103.80896,2,44,30,13,0.15,32,340,2019,2,2
1,1.28677,103.81244000000001,2,40,30,10,0.14,32,331,2019,4,27
1,1.2853700000000001,103.81087,2,31,90,3,0.04,32,361,2016,8,22
8,1.3115,103.83759,2,60,2,84,1.17,6,340,2019,7,10
8,1.31159,103.83805,2,60,2,157,1.75,6,349,2019,8,15
13,1.29345,103.83561999999999,2,56,90,27,0.36,1,364,2017,8,7
2,1.33171,103.79383,3,276,4,11,0.13,1,362,2018,1,7
2,1.31016,103.79853,2,100,90,28,0.33,1,90,2017,8,12
6,1.30377,103.89956,2,165,2,68,0.83,5,167,2019,7,26
18,1.34143,103.84945,2,51,92,48,0.61,1,179,2019,8,21
11,1.28315,103.84213000000001,2,44,90,2,0.02,112,365,2019,8,11
1,1.28909,103.80749,2,40,30,13,0.17,32,331,2019,8,16
6,1.30529,103.9042,3,300,2,37,0.46,5,221,2018,2,9
6,1.30392,103.89988000000001,2,150,2,68,0.84,5,173,2019,5,27
17,1.29839,103.82808,3,200,60,9,0.11,3,334,2018,2,12
1,1.27681,103.82381,2,150,1,2,0.05,1,208,2019,1,25
11,1.28291,103.84284,2,65,90,3,0.04,112,0,2018,3,9
9,1.31314,103.84081,3,243,5,14,0.19,1,143,2016,7,5
4,1.31525,103.88176,2,35,18,6,0.15,112,359,2019,7,20
3,1.27529,103.84494000000001,3,219,60,6,0.08,3,350,2018,2,10
11,1.28491,103.84209,2,60,28,6,0.16,112,333,2017,8,10
9,1.33334,103.8327,2,69,2,222,2.85,2,0,2019,8,23
13,1.29349,103.83837,3,140,2,145,2.04,1,230,2019,8,22
5,1.31135,103.85946,2,49,18,2,0.05,112,360,2016,2,22
5,1.2963799999999999,103.87281999999999,2,81,90,14,0.18,1,0,2015,1,21
15,1.28708,103.84444,3,231,90,28,0.4,2,119,2018,7,14
6,1.29891,103.88681,3,190,9,29,0.39,1,277,2019,8,3
17,1.31693,103.82636,3,319,7,42,0.61,19,330,2019,6,4
